1625928246515;Model.NeuroTagMarkedAsTargetLogEntry;7
1625928246519;Model.SensorTelemetryLogEntry;97;97;98;96;97;97;98;97;C
1625928246520;Model.ExperimentEventLogEntry;started
1625928246529;Model.NeuroTagConfidenceLogEntry;7;0
1625928247713;Model.NeuroTagConfidenceLogEntry;7;0.0424041
1625928248030;Model.NeuroTagConfidenceLogEntry;7;0.1317702
1625928248346;Model.NeuroTagConfidenceLogEntry;7;0.1501051
1625928248612;Model.NeuroTagConfidenceLogEntry;7;0.1294027
1625928248912;Model.NeuroTagConfidenceLogEntry;7;0.1403754
1625928249229;Model.NeuroTagConfidenceLogEntry;7;0.2124056
1625928249511;Model.NeuroTagConfidenceLogEntry;7;0.2342045
1625928249812;Model.NeuroTagConfidenceLogEntry;7;0.2588637
1625928250112;Model.NeuroTagConfidenceLogEntry;7;0.2921296
1625928250428;Model.NeuroTagConfidenceLogEntry;7;0.3190787
1625928250745;Model.NeuroTagMarkedAsTargetLogEntry;2
1625928250746;Model.NeuroTagHitLogEntry;7
1625928253061;Model.NeuroTagMarkedAsTargetLogEntry;9
1625928253061;Model.NeuroTagHitLogEntry;2
1625928255443;Model.NeuroTagConfidenceLogEntry;9;0.2298022
1625928255709;Model.NeuroTagConfidenceLogEntry;9;0.1728524
1625928256026;Model.NeuroTagConfidenceLogEntry;9;0.2005932
1625928256326;Model.NeuroTagConfidenceLogEntry;9;0.2258478
1625928256609;Model.NeuroTagConfidenceLogEntry;9;0.2521966
1625928256926;Model.NeuroTagMarkedAsTargetLogEntry;8
1625928256926;Model.NeuroTagHitLogEntry;9
1625928259274;Model.NeuroTagMarkedAsTargetLogEntry;7
1625928259274;Model.NeuroTagHitLogEntry;8
1625928261606;Model.NeuroTagConfidenceLogEntry;7;0.2671939
1625928261907;Model.NeuroTagConfidenceLogEntry;7;0.2391878
1625928262225;Model.NeuroTagConfidenceLogEntry;7;0.1548812
1625928262506;Model.NeuroTagConfidenceLogEntry;7;0.1331971
1625928262839;Model.NeuroTagConfidenceLogEntry;7;0.194481
1625928263122;Model.NeuroTagConfidenceLogEntry;7;0.2273257
