1626121490359;Model.NeuroTagMarkedAsTargetLogEntry;7
1626121490369;Model.SensorTelemetryLogEntry;95;93;95;99;96;98;97;95;B
1626121490369;Model.ExperimentEventLogEntry;started
1626121491983;Model.NeuroTagConfidenceLogEntry;7;0.04025562
1626121492260;Model.NeuroTagConfidenceLogEntry;7;0.1016906
1626121492593;Model.NeuroTagConfidenceLogEntry;7;0.147458
1626121492886;Model.NeuroTagConfidenceLogEntry;7;0.2018129
1626121493179;Model.NeuroTagConfidenceLogEntry;7;0.2100997
1626121493474;Model.NeuroTagMarkedAsTargetLogEntry;2
1626121493474;Model.NeuroTagHitLogEntry;7
1626121495831;Model.NeuroTagMarkedAsTargetLogEntry;9
1626121495831;Model.NeuroTagHitLogEntry;2
1626121498163;Model.NeuroTagMarkedAsTargetLogEntry;8
1626121498170;Model.NeuroTagHitLogEntry;9
1626121500522;Model.NeuroTagMarkedAsTargetLogEntry;7
1626121500522;Model.NeuroTagHitLogEntry;8
1626121502879;Model.NeuroTagMarkedAsTargetLogEntry;1
1626121502879;Model.NeuroTagHitLogEntry;7
1626121505225;Model.NeuroTagMarkedAsTargetLogEntry;2
1626121505225;Model.NeuroTagHitLogEntry;1
1626121505225;Model.NeuroTagConfidenceLogEntry;2;0.07784557
1626121507556;Model.NeuroTagMarkedAsTargetLogEntry;7
1626121507557;Model.NeuroTagHitLogEntry;2
1626121509889;Model.NeuroTagMarkedAsTargetLogEntry;0
1626121509889;Model.NeuroTagHitLogEntry;7
1626121512274;Model.NeuroTagMarkedAsTargetLogEntry;8
1626121512274;Model.NeuroTagHitLogEntry;0
1626121512274;Model.NeuroTagConfidenceLogEntry;8;0.009839494
1626121514605;Model.NeuroTagMarkedAsTargetLogEntry;7
1626121514605;Model.NeuroTagHitLogEntry;8
1626121514605;Model.NeuroTagConfidenceLogEntry;7;0
1626121516964;Model.NeuroTagMarkedAsTargetLogEntry;6
1626121516964;Model.NeuroTagHitLogEntry;7
1626121519308;Model.NeuroTagMarkedAsTargetLogEntry;2
1626121519308;Model.NeuroTagHitLogEntry;6
1626121519308;Model.NeuroTagConfidenceLogEntry;2;0.02573217
1626121521640;Model.NeuroTagMarkedAsTargetLogEntry;6
1626121521641;Model.NeuroTagHitLogEntry;2
1626121523985;Model.NeuroTagMarkedAsTargetLogEntry;5
1626121523985;Model.NeuroTagHitLogEntry;6
1626121523985;Model.NeuroTagConfidenceLogEntry;5;0.1895797
1626121526358;Model.NeuroTagMarkedAsTargetLogEntry;4
1626121526358;Model.NeuroTagHitLogEntry;5
1626121528689;Model.NeuroTagMarkedAsTargetLogEntry;7
1626121528689;Model.NeuroTagHitLogEntry;4
1626121528689;Model.NeuroTagConfidenceLogEntry;7;0.01874431
1626121531047;Model.NeuroTagMarkedAsTargetLogEntry;2
1626121531047;Model.NeuroTagHitLogEntry;7
1626121533393;Model.NeuroTagMarkedAsTargetLogEntry;5
1626121533393;Model.NeuroTagHitLogEntry;2
1626121535724;Model.NeuroTagMarkedAsTargetLogEntry;1
1626121535724;Model.NeuroTagHitLogEntry;5
1626121538096;Model.NeuroTagConfidenceLogEntry;1;0.2243071
1626121538416;Model.NeuroTagConfidenceLogEntry;1;0.2250576
1626121538696;Model.NeuroTagConfidenceLogEntry;1;0.2554706
1626121538989;Model.NeuroTagConfidenceLogEntry;1;0.2747901
1626121539295;Model.NeuroTagConfidenceLogEntry;1;0.3041509
1626121539587;Model.NeuroTagConfidenceLogEntry;1;0.3019653
1626121539882;Model.NeuroTagConfidenceLogEntry;1;0.3244888
1626121540188;Model.NeuroTagConfidenceLogEntry;1;0.306175
1626121540468;Model.NeuroTagConfidenceLogEntry;1;0.2570612
1626121540775;Model.NeuroTagConfidenceLogEntry;1;0.3138933
1626121541107;Model.NeuroTagConfidenceLogEntry;1;0.296267
1626121541400;Model.NeuroTagMarkedAsTargetLogEntry;8
1626121541401;Model.NeuroTagHitLogEntry;1
1626121541401;Model.NeuroTagConfidenceLogEntry;8;0.1041519
1626121543733;Model.NeuroTagMarkedAsTargetLogEntry;0
1626121543733;Model.NeuroTagHitLogEntry;8
1626121546064;Model.NeuroTagMarkedAsTargetLogEntry;5
1626121546065;Model.NeuroTagHitLogEntry;0
1626121548436;Model.NeuroTagMarkedAsTargetLogEntry;2
1626121548436;Model.NeuroTagHitLogEntry;5
1626121550781;Model.NeuroTagMarkedAsTargetLogEntry;4
1626121550781;Model.NeuroTagHitLogEntry;2
1626121553112;Model.NeuroTagConfidenceLogEntry;4;0.3251512
1626121553445;Model.NeuroTagMarkedAsTargetLogEntry;8
1626121553446;Model.NeuroTagHitLogEntry;4
1626121555778;Model.NeuroTagMarkedAsTargetLogEntry;0
1626121555778;Model.NeuroTagHitLogEntry;8
1626121558123;Model.NeuroTagConfidenceLogEntry;0;0.3354438
1626121558416;Model.NeuroTagMarkedAsTargetLogEntry;5
1626121558416;Model.NeuroTagHitLogEntry;0
1626121558416;Model.NeuroTagConfidenceLogEntry;5;0.1019516
1626121560774;Model.NeuroTagMarkedAsTargetLogEntry;3
1626121560775;Model.NeuroTagHitLogEntry;5
1626121563106;Model.NeuroTagConfidenceLogEntry;3;0.3191268
1626121563413;Model.NeuroTagMarkedAsTargetLogEntry;5
1626121563413;Model.NeuroTagHitLogEntry;3
1626121563413;Model.NeuroTagConfidenceLogEntry;5;0.05370145
1626121565771;Model.NeuroTagMarkedAsTargetLogEntry;2
