1626100085378;Model.NeuroTagMarkedAsTargetLogEntry;7
1626100085389;Model.SensorTelemetryLogEntry;95;97;93;96;96;99;99;93;C
1626100085389;Model.ExperimentEventLogEntry;started
1626100085625;Model.NeuroTagConfidenceLogEntry;7;0.06165735
1626100085958;Model.NeuroTagConfidenceLogEntry;7;0
1626100087425;Model.NeuroTagConfidenceLogEntry;7;0.009331603
1626100087757;Model.NeuroTagConfidenceLogEntry;7;0.1321161
1626100088008;Model.NeuroTagConfidenceLogEntry;7;0.2149355
1626100088339;Model.NeuroTagConfidenceLogEntry;7;0.294169
1626100088642;Model.NeuroTagMarkedAsTargetLogEntry;2
1626100088642;Model.NeuroTagHitLogEntry;7
1626100090989;Model.NeuroTagMarkedAsTargetLogEntry;9
1626100090989;Model.NeuroTagHitLogEntry;2
1626100093338;Model.NeuroTagMarkedAsTargetLogEntry;8
1626100093338;Model.NeuroTagHitLogEntry;9
1626100095671;Model.NeuroTagMarkedAsTargetLogEntry;7
1626100095672;Model.NeuroTagHitLogEntry;8
1626100095672;Model.NeuroTagConfidenceLogEntry;7;0.07148622
1626100098035;Model.NeuroTagMarkedAsTargetLogEntry;1
1626100098036;Model.NeuroTagHitLogEntry;7
1626100100369;Model.NeuroTagMarkedAsTargetLogEntry;2
1626100100369;Model.NeuroTagHitLogEntry;1
1626100100369;Model.NeuroTagConfidenceLogEntry;2;0
1626100102734;Model.NeuroTagConfidenceLogEntry;2;0.1086746
1626100103033;Model.NeuroTagConfidenceLogEntry;2;0.1948304
1626100103316;Model.NeuroTagConfidenceLogEntry;2;0.2007483
1626100103616;Model.NeuroTagConfidenceLogEntry;2;0.1965604
1626100103917;Model.NeuroTagConfidenceLogEntry;2;0.1607284
1626100104233;Model.NeuroTagConfidenceLogEntry;2;0.1508267
1626100104532;Model.NeuroTagConfidenceLogEntry;2;0.1716896
1626100104832;Model.NeuroTagConfidenceLogEntry;2;0.1483667
1626100105115;Model.NeuroTagConfidenceLogEntry;2;0.1851738
1626100105449;Model.NeuroTagConfidenceLogEntry;2;0.202879
1626100105715;Model.NeuroTagConfidenceLogEntry;2;0.2435922
1626100106032;Model.NeuroTagConfidenceLogEntry;2;0.2077796
1626100106315;Model.NeuroTagConfidenceLogEntry;2;0.2535485
1626100106615;Model.NeuroTagMarkedAsTargetLogEntry;7
1626100106615;Model.NeuroTagHitLogEntry;2
1626100108964;Model.NeuroTagMarkedAsTargetLogEntry;0
1626100111313;Model.NeuroTagConfidenceLogEntry;0;0.2965149
1626100111647;Model.NeuroTagMarkedAsTargetLogEntry;8
1626100111647;Model.NeuroTagHitLogEntry;0
1626100111647;Model.NeuroTagConfidenceLogEntry;8;0.08105727
1626100113962;Model.NeuroTagConfidenceLogEntry;8;0.203433
1626100114295;Model.NeuroTagConfidenceLogEntry;8;0.2442521
1626100114562;Model.NeuroTagConfidenceLogEntry;8;0.2520061
1626100114861;Model.NeuroTagConfidenceLogEntry;8;0.2157856
1626100115195;Model.NeuroTagConfidenceLogEntry;8;0.1640747
1626100115461;Model.NeuroTagConfidenceLogEntry;8;0.1385344
1626100115761;Model.NeuroTagConfidenceLogEntry;8;0.1241023
1626100116094;Model.NeuroTagConfidenceLogEntry;8;0.1714009
1626100116377;Model.NeuroTagConfidenceLogEntry;8;0.2339667
1626100116676;Model.NeuroTagConfidenceLogEntry;8;0.2662454
1626100116961;Model.NeuroTagConfidenceLogEntry;8;0.249397
1626100117260;Model.NeuroTagConfidenceLogEntry;8;0.2624399
1626100117561;Model.NeuroTagMarkedAsTargetLogEntry;7
1626100117561;Model.NeuroTagHitLogEntry;8
1626100117561;Model.NeuroTagConfidenceLogEntry;7;0.08679295
1626100119927;Model.NeuroTagConfidenceLogEntry;7;0.2516733
1626100120226;Model.NeuroTagConfidenceLogEntry;7;0.2775645
1626100120509;Model.NeuroTagConfidenceLogEntry;7;0.2928976
1626100120842;Model.NeuroTagMarkedAsTargetLogEntry;6
1626100120842;Model.NeuroTagHitLogEntry;7
1626100123140;Model.NeuroTagConfidenceLogEntry;6;0.2045955
1626100123475;Model.NeuroTagConfidenceLogEntry;6;0.1850689
1626100123774;Model.NeuroTagConfidenceLogEntry;6;0.1795787
1626100124090;Model.NeuroTagConfidenceLogEntry;6;0.2374717
1626100124375;Model.NeuroTagConfidenceLogEntry;6;0.1954485
1626100124674;Model.NeuroTagConfidenceLogEntry;6;0.1417392
1626100124990;Model.NeuroTagConfidenceLogEntry;6;0.1595231
1626100125257;Model.NeuroTagConfidenceLogEntry;6;0.2672597
1626100125556;Model.NeuroTagConfidenceLogEntry;6;0.2608791
1626100125873;Model.NeuroTagConfidenceLogEntry;6;0.2449377
1626100126172;Model.NeuroTagConfidenceLogEntry;6;0.2909826
1626100126473;Model.NeuroTagConfidenceLogEntry;6;0.203418
1626100126772;Model.NeuroTagConfidenceLogEntry;6;0.1855119
1626100127055;Model.NeuroTagConfidenceLogEntry;6;0.1583351
1626100127372;Model.NeuroTagConfidenceLogEntry;6;0.1838028
1626100127672;Model.NeuroTagConfidenceLogEntry;6;0.2173347
1626100127972;Model.NeuroTagConfidenceLogEntry;6;0.241499
1626100128273;Model.NeuroTagMarkedAsTargetLogEntry;2
1626100128273;Model.NeuroTagHitLogEntry;6
1626100130622;Model.NeuroTagConfidenceLogEntry;2;0.2211466
1626100130921;Model.NeuroTagConfidenceLogEntry;2;0.2199958
1626100131204;Model.NeuroTagConfidenceLogEntry;2;0.2975522
1626100131504;Model.NeuroTagMarkedAsTargetLogEntry;6
1626100131504;Model.NeuroTagHitLogEntry;2
1626100133887;Model.NeuroTagMarkedAsTargetLogEntry;5
1626100133887;Model.NeuroTagHitLogEntry;6
1626100136219;Model.NeuroTagConfidenceLogEntry;5;0.008277962
1626100136518;Model.NeuroTagConfidenceLogEntry;5;0.0656158
1626100136819;Model.NeuroTagConfidenceLogEntry;5;0.09775637
1626100137118;Model.NeuroTagConfidenceLogEntry;5;0.09575436
1626100137418;Model.NeuroTagConfidenceLogEntry;5;0.1514097
1626100137718;Model.NeuroTagConfidenceLogEntry;5;0.2574378
1626100138018;Model.NeuroTagMarkedAsTargetLogEntry;4
1626100138018;Model.NeuroTagHitLogEntry;5
1626100140350;Model.NeuroTagMarkedAsTargetLogEntry;7
1626100140350;Model.NeuroTagHitLogEntry;4
1626100140351;Model.NeuroTagConfidenceLogEntry;7;0
1626100142716;Model.NeuroTagMarkedAsTargetLogEntry;2
1626100142716;Model.NeuroTagHitLogEntry;7
1626100145081;Model.NeuroTagConfidenceLogEntry;2;0.2447566
1626100145348;Model.NeuroTagConfidenceLogEntry;2;0.2716179
1626100145649;Model.NeuroTagConfidenceLogEntry;2;0.2855581
1626100145981;Model.NeuroTagConfidenceLogEntry;2;0.2551751
1626100146248;Model.NeuroTagConfidenceLogEntry;2;0.2634173
1626100146549;Model.NeuroTagConfidenceLogEntry;2;0.2838075
1626100146880;Model.NeuroTagConfidenceLogEntry;2;0.2797886
1626100147147;Model.NeuroTagConfidenceLogEntry;2;0.2431844
1626100147447;Model.NeuroTagConfidenceLogEntry;2;0.2742678
1626100147780;Model.NeuroTagConfidenceLogEntry;2;0.2800616
1626100148047;Model.NeuroTagConfidenceLogEntry;2;0.1905665
1626100148346;Model.NeuroTagConfidenceLogEntry;2;0.1838192
1626100148662;Model.NeuroTagConfidenceLogEntry;2;0.2138489
1626100148964;Model.NeuroTagConfidenceLogEntry;2;0.1577448
1626100149263;Model.NeuroTagConfidenceLogEntry;2;0.09224313
1626100149562;Model.NeuroTagConfidenceLogEntry;2;0.1705295
1626100149845;Model.NeuroTagConfidenceLogEntry;2;0.1334202
1626100150145;Model.NeuroTagConfidenceLogEntry;2;0.1218326
1626100150445;Model.NeuroTagConfidenceLogEntry;2;0.1512293
1626100150745;Model.NeuroTagConfidenceLogEntry;2;0.2038509
1626100151078;Model.NeuroTagConfidenceLogEntry;2;0.2586567
1626100151362;Model.NeuroTagMarkedAsTargetLogEntry;5
1626100151362;Model.NeuroTagHitLogEntry;2
1626100153710;Model.NeuroTagConfidenceLogEntry;5;0.2486039
1626100154012;Model.NeuroTagConfidenceLogEntry;5;0.2617058
1626100154310;Model.NeuroTagConfidenceLogEntry;5;0.2411507
1626100154610;Model.NeuroTagConfidenceLogEntry;5;0.2449829
1626100154912;Model.NeuroTagConfidenceLogEntry;5;0.1643529
1626100155211;Model.NeuroTagConfidenceLogEntry;5;0.1720045
1626100155511;Model.NeuroTagConfidenceLogEntry;5;0.1612867
1626100155812;Model.NeuroTagConfidenceLogEntry;5;0.1579747
1626100156110;Model.NeuroTagConfidenceLogEntry;5;0.1537537
