1626187365743;Model.NeuroTagMarkedAsTargetLogEntry;7
1626187365748;Model.SensorTelemetryLogEntry;99;99;99;94;99;93;96;98;B
1626187365748;Model.ExperimentEventLogEntry;started
1626187365790;Model.NeuroTagConfidenceLogEntry;7;0
1626187366340;Model.NeuroTagConfidenceLogEntry;7;0.09866926
1626187366657;Model.NeuroTagConfidenceLogEntry;7;0.1358301
1626187366956;Model.NeuroTagConfidenceLogEntry;7;0.1849016
1626187367272;Model.NeuroTagConfidenceLogEntry;7;0.1848804
1626187367572;Model.NeuroTagConfidenceLogEntry;7;0.2367235
1626187367856;Model.NeuroTagConfidenceLogEntry;7;0.2214633
1626187368190;Model.NeuroTagConfidenceLogEntry;7;0.2316767
1626187368456;Model.NeuroTagConfidenceLogEntry;7;0.2160844
1626187368755;Model.NeuroTagConfidenceLogEntry;7;0.2020405
1626187369055;Model.NeuroTagConfidenceLogEntry;7;0.1826592
1626187369356;Model.NeuroTagConfidenceLogEntry;7;0.1890942
1626187369655;Model.NeuroTagConfidenceLogEntry;7;0.178799
1626187369954;Model.NeuroTagConfidenceLogEntry;7;0.1772971
1626187370254;Model.NeuroTagConfidenceLogEntry;7;0.1920245
1626187370538;Model.NeuroTagConfidenceLogEntry;7;0.2345937
1626187370872;Model.NeuroTagMarkedAsTargetLogEntry;2
1626187370872;Model.NeuroTagHitLogEntry;7
1626187373187;Model.NeuroTagConfidenceLogEntry;2;0
1626187375320;Model.NeuroTagConfidenceLogEntry;2;0.06180092
1626187375619;Model.NeuroTagConfidenceLogEntry;2;0.05352608
1626187375919;Model.NeuroTagConfidenceLogEntry;2;0.05794887
1626187376202;Model.NeuroTagConfidenceLogEntry;2;0.1685337
1626187376502;Model.NeuroTagConfidenceLogEntry;2;0.251628
1626187376818;Model.NeuroTagConfidenceLogEntry;2;0.2005368
1626187377101;Model.NeuroTagConfidenceLogEntry;2;0.2477671
1626187377402;Model.NeuroTagConfidenceLogEntry;2;0.2400572
1626187377718;Model.NeuroTagConfidenceLogEntry;2;0.2188048
1626187378001;Model.NeuroTagConfidenceLogEntry;2;0.2212806
1626187378301;Model.NeuroTagConfidenceLogEntry;2;0.2071865
1626187378634;Model.NeuroTagConfidenceLogEntry;2;0.1964245
1626187378918;Model.NeuroTagConfidenceLogEntry;2;0.2056883
1626187379217;Model.NeuroTagConfidenceLogEntry;2;0.1983349
1626187379501;Model.NeuroTagConfidenceLogEntry;2;0.161563
1626187379800;Model.NeuroTagConfidenceLogEntry;2;0.2711306
1626187380100;Model.NeuroTagConfidenceLogEntry;2;0.25223
1626187380416;Model.NeuroTagConfidenceLogEntry;2;0.2874973
1626187380716;Model.NeuroTagMarkedAsTargetLogEntry;9
1626187380716;Model.NeuroTagHitLogEntry;2
1626187383066;Model.NeuroTagConfidenceLogEntry;9;0.01765146
1626187383348;Model.NeuroTagConfidenceLogEntry;9;0.02648651
1626187383648;Model.NeuroTagConfidenceLogEntry;9;0.03306276
1626187383965;Model.NeuroTagConfidenceLogEntry;9;0.04784313
1626187384265;Model.NeuroTagConfidenceLogEntry;9;0.1310457
1626187384549;Model.NeuroTagConfidenceLogEntry;9;0.2063096
1626187384849;Model.NeuroTagConfidenceLogEntry;9;0.2910429
1626187385165;Model.NeuroTagMarkedAsTargetLogEntry;8
1626187385165;Model.NeuroTagHitLogEntry;9
1626187387530;Model.NeuroTagConfidenceLogEntry;8;0.2106912
1626187387796;Model.NeuroTagConfidenceLogEntry;8;0.2144018
1626187388096;Model.NeuroTagConfidenceLogEntry;8;0.2088987
1626187388413;Model.NeuroTagConfidenceLogEntry;8;0.1999871
1626187388713;Model.NeuroTagConfidenceLogEntry;8;0.295367
1626187388995;Model.NeuroTagMarkedAsTargetLogEntry;7
1626187388996;Model.NeuroTagHitLogEntry;8
1626187388996;Model.NeuroTagConfidenceLogEntry;7;0.02014981
1626187391379;Model.NeuroTagMarkedAsTargetLogEntry;1
1626187391379;Model.NeuroTagHitLogEntry;7
1626187393711;Model.NeuroTagMarkedAsTargetLogEntry;2
1626187393711;Model.NeuroTagHitLogEntry;1
1626187396044;Model.NeuroTagConfidenceLogEntry;2;0.2730588
1626187396343;Model.NeuroTagConfidenceLogEntry;2;0.2730456
1626187396659;Model.NeuroTagConfidenceLogEntry;2;0.2973866
1626187396960;Model.NeuroTagMarkedAsTargetLogEntry;7
1626187396960;Model.NeuroTagHitLogEntry;2
1626187396960;Model.NeuroTagConfidenceLogEntry;7;0.07709713
1626187399292;Model.NeuroTagMarkedAsTargetLogEntry;0
1626187399292;Model.NeuroTagHitLogEntry;7
1626187401674;Model.NeuroTagMarkedAsTargetLogEntry;8
1626187401674;Model.NeuroTagHitLogEntry;0
1626187403989;Model.NeuroTagConfidenceLogEntry;8;0.2189726
1626187404306;Model.NeuroTagConfidenceLogEntry;8;0.195711
1626187404606;Model.NeuroTagConfidenceLogEntry;8;0.1890808
1626187404889;Model.NeuroTagConfidenceLogEntry;8;0.1801838
1626187405189;Model.NeuroTagConfidenceLogEntry;8;0.2149359
1626187405488;Model.NeuroTagConfidenceLogEntry;8;0.05076573
1626187405773;Model.NeuroTagConfidenceLogEntry;8;0.1283896
1626187406106;Model.NeuroTagConfidenceLogEntry;8;0.09500186
1626187406405;Model.NeuroTagConfidenceLogEntry;8;0.102364
1626187406690;Model.NeuroTagConfidenceLogEntry;8;0.1276347
1626187406988;Model.NeuroTagConfidenceLogEntry;8;0.1348126
1626187407288;Model.NeuroTagConfidenceLogEntry;8;0.1354541
1626187407588;Model.NeuroTagConfidenceLogEntry;8;0.1555191
1626187407887;Model.NeuroTagConfidenceLogEntry;8;0.1277916
1626187408206;Model.NeuroTagConfidenceLogEntry;8;0.1590835
1626187408504;Model.NeuroTagConfidenceLogEntry;8;0.1693918
1626187408804;Model.NeuroTagConfidenceLogEntry;8;0.1679634
1626187409087;Model.NeuroTagConfidenceLogEntry;8;0.1745136
1626187409405;Model.NeuroTagConfidenceLogEntry;8;0.1823789
1626187409704;Model.NeuroTagConfidenceLogEntry;8;0.1707203
1626187410004;Model.NeuroTagConfidenceLogEntry;8;0.1938911
1626187410304;Model.NeuroTagConfidenceLogEntry;8;0.1900944
1626187410587;Model.NeuroTagConfidenceLogEntry;8;0.1851755
1626187410887;Model.NeuroTagConfidenceLogEntry;8;0.1279613
1626187411219;Model.NeuroTagConfidenceLogEntry;8;0.1797529
1626187411519;Model.NeuroTagConfidenceLogEntry;8;0.2011053
1626187411770;Model.NeuroTagConfidenceLogEntry;8;0.2343576
1626187412103;Model.NeuroTagConfidenceLogEntry;8;0.1726541
1626187412403;Model.NeuroTagConfidenceLogEntry;8;0
1626187413002;Model.NeuroTagConfidenceLogEntry;8;0.0256503
1626187413285;Model.NeuroTagConfidenceLogEntry;8;0.05181613
1626187413585;Model.NeuroTagConfidenceLogEntry;8;0.06440844
1626187413919;Model.NeuroTagConfidenceLogEntry;8;0.1325108
1626187414186;Model.NeuroTagConfidenceLogEntry;8;0.09474406
1626187414485;Model.NeuroTagConfidenceLogEntry;8;0.1544645
1626187414787;Model.NeuroTagConfidenceLogEntry;8;0.2446157
1626187415084;Model.NeuroTagMarkedAsTargetLogEntry;7
1626187415084;Model.NeuroTagHitLogEntry;8
1626187415084;Model.NeuroTagConfidenceLogEntry;7;0.06815969
1626187417450;Model.NeuroTagConfidenceLogEntry;7;0.2696605
1626187417750;Model.NeuroTagConfidenceLogEntry;7;0.2762978
1626187418050;Model.NeuroTagMarkedAsTargetLogEntry;6
1626187418050;Model.NeuroTagHitLogEntry;7
1626187420366;Model.NeuroTagConfidenceLogEntry;6;0.02362956
1626187420699;Model.NeuroTagConfidenceLogEntry;6;0.02590682
1626187420998;Model.NeuroTagConfidenceLogEntry;6;0.02946671
1626187421299;Model.NeuroTagConfidenceLogEntry;6;0.05637832
1626187421582;Model.NeuroTagConfidenceLogEntry;6;0.1157891
1626187421882;Model.NeuroTagConfidenceLogEntry;6;0.1729436
1626187422181;Model.NeuroTagConfidenceLogEntry;6;0.1140232
1626187422481;Model.NeuroTagConfidenceLogEntry;6;0.1784191
1626187422798;Model.NeuroTagConfidenceLogEntry;6;0.1943162
1626187423097;Model.NeuroTagConfidenceLogEntry;6;0.2453119
1626187423397;Model.NeuroTagConfidenceLogEntry;6;0.2237076
1626187423681;Model.NeuroTagConfidenceLogEntry;6;0.233915
1626187423980;Model.NeuroTagConfidenceLogEntry;6;0.2640683
1626187424281;Model.NeuroTagConfidenceLogEntry;6;0.2367749
1626187424613;Model.NeuroTagConfidenceLogEntry;6;0.2813887
1626187424864;Model.NeuroTagMarkedAsTargetLogEntry;2
1626187424864;Model.NeuroTagHitLogEntry;6
1626187427229;Model.NeuroTagConfidenceLogEntry;2;0.1621616
1626187427529;Model.NeuroTagConfidenceLogEntry;2;0.1799335
1626187427847;Model.NeuroTagConfidenceLogEntry;2;0.189524
1626187428145;Model.NeuroTagConfidenceLogEntry;2;0.1611315
1626187428446;Model.NeuroTagConfidenceLogEntry;2;0.1345687
1626187428744;Model.NeuroTagConfidenceLogEntry;2;0.1802091
1626187429029;Model.NeuroTagConfidenceLogEntry;2;0.08903373
1626187429311;Model.NeuroTagConfidenceLogEntry;2;0.1134654
1626187429644;Model.NeuroTagConfidenceLogEntry;2;0.1586618
1626187429928;Model.NeuroTagConfidenceLogEntry;2;0.1764411
1626187430227;Model.NeuroTagConfidenceLogEntry;2;0.2286513
1626187430543;Model.NeuroTagConfidenceLogEntry;2;0.2261535
1626187430844;Model.NeuroTagConfidenceLogEntry;2;0.2821066
1626187431127;Model.NeuroTagConfidenceLogEntry;2;0.2525948
1626187431461;Model.NeuroTagMarkedAsTargetLogEntry;6
1626187431461;Model.NeuroTagHitLogEntry;2
1626187433775;Model.NeuroTagMarkedAsTargetLogEntry;5
1626187433775;Model.NeuroTagHitLogEntry;6
1626187433775;Model.NeuroTagConfidenceLogEntry;5;0.09322803
1626187436141;Model.NeuroTagConfidenceLogEntry;5;0.2383205
1626187436441;Model.NeuroTagConfidenceLogEntry;5;0.2067624
1626187436757;Model.NeuroTagConfidenceLogEntry;5;0.202879
1626187437042;Model.NeuroTagConfidenceLogEntry;5;0.1896207
1626187437341;Model.NeuroTagConfidenceLogEntry;5;0.2268291
1626187437624;Model.NeuroTagConfidenceLogEntry;5;0.2338938
1626187437924;Model.NeuroTagConfidenceLogEntry;5;0.2291873
1626187438240;Model.NeuroTagConfidenceLogEntry;5;0.2472032
1626187438541;Model.NeuroTagConfidenceLogEntry;5;0.1897616
1626187438824;Model.NeuroTagConfidenceLogEntry;5;0.2656186
1626187439124;Model.NeuroTagMarkedAsTargetLogEntry;4
1626187439124;Model.NeuroTagHitLogEntry;5
1626187441472;Model.NeuroTagConfidenceLogEntry;4;0.1641739
1626187441473;Model.NeuroTagMarkedAsTargetLogEntry;7
1626187441473;Model.NeuroTagConfidenceLogEntry;7;1
1626187443838;Model.NeuroTagConfidenceLogEntry;7;0.05631722
1626187444138;Model.NeuroTagConfidenceLogEntry;7;0.05886683
1626187444421;Model.NeuroTagConfidenceLogEntry;7;0.009839025
1626187444721;Model.NeuroTagConfidenceLogEntry;7;0.05255944
1626187445037;Model.NeuroTagConfidenceLogEntry;7;0.01240144
1626187445337;Model.NeuroTagConfidenceLogEntry;7;0.01606977
1626187445653;Model.NeuroTagConfidenceLogEntry;7;0.1035512
1626187445937;Model.NeuroTagConfidenceLogEntry;7;0.1434087
1626187446237;Model.NeuroTagConfidenceLogEntry;7;0.1729583
1626187446553;Model.NeuroTagConfidenceLogEntry;7;0.2270698
1626187446853;Model.NeuroTagConfidenceLogEntry;7;0.2272936
1626187447136;Model.NeuroTagConfidenceLogEntry;7;0.196509
1626187447436;Model.NeuroTagConfidenceLogEntry;7;0.1842489
1626187447719;Model.NeuroTagConfidenceLogEntry;7;0.204559
1626187448020;Model.NeuroTagConfidenceLogEntry;7;0.2015211
1626187448336;Model.NeuroTagConfidenceLogEntry;7;0.1373957
1626187448635;Model.NeuroTagConfidenceLogEntry;7;0.08157731
1626187448919;Model.NeuroTagConfidenceLogEntry;7;0.01996346
1626187449252;Model.NeuroTagConfidenceLogEntry;7;0.1280102
1626187449519;Model.NeuroTagConfidenceLogEntry;7;0.1866702
